Tweets,Label
eza el @LbciLebanon rah ydalo y3ido l programet l adimin ana bdal 10 snin bl quarantine Watch 7ella w 7talla ðŸ˜,Extraversion
"Aktar mn nos l sha3b meltezem fiya, bad akif in every country there's gonna be people who don't care yaane bas msh enno all of us or none of us, rather as many as we can",Extraversion
ØªØ±Ø¯Ø¯Øª Ù…Ø¹Ù„ÙˆÙ…Ø§Øª Ø¹Ù† ØªÙ‡Ø¯ÙŠØ¯ Ø±Ø¦ÙŠØ³ Ø§Ù„Ø­ÙƒÙˆÙ…Ø© Ø­Ø³Ø§Ù† Ø¯ÙŠØ§Ø¨ Ø¨Ø§Ù„Ø§Ø³ØªÙ‚Ø§Ù„Ø© ÙˆÙˆØ¶Ø¹ ÙƒÙ„ Ø§Ù„Ù‚ÙˆÙ‰ Ø§Ù„Ø³ÙŠØ§Ø³ÙŠØ© Ø§Ù„Ù…Ø´Ø§Ø±ÙƒØ© ÙÙŠ Ø§Ù„Ø­ÙƒÙˆÙ…Ø© ÙÙŠ Ø§Ù„Ø²Ø§ÙˆÙŠØ© Ù„ØªØªØ­Ù…Ù„ Ø§Ù„Ù…Ø³Ø¤ÙˆÙ„ÙŠØ© ÙˆØ­Ø¯Ù‡Ø§ Ø§Ø°Ø§ Ø¨Ù‚ÙŠØª ÙÙŠ Ù…Ø§ Ø¨ÙŠÙ†Ù‡Ø§ ØªØªÙ†Ø§Ø­Ø± Ø¹Ù„Ù‰ Ù…Ø­Ø§ØµØµØ© Ø§Ù„ØªØ¹ÙŠÙŠÙ†Ø§Øª Ø§Ù„Ù…Ø§Ù„ÙŠØ© ÙÙŠ Ù…ØµØ±Ù Ù„Ø¨Ù†Ø§Ù† ÙˆÙ‡ÙŠØ¦Ø§Øª Ø§Ù„Ø§Ø³ÙˆØ§Ù‚ Ø§Ù„Ù…Ø§Ù„ÙŠØ©! ÙƒÙŠÙ Ù…Ø³ØªÙ‚Ù„Ù‘ÙŠÙ†ðŸ¤” ðŸ‘‡ðŸ‘‡ðŸ‘‡@WHO @MinistryInfoLB â€“ at Baaloul,Neutral
B3rfik bt7ebbe ta3mle 7elo ðŸ¤£ðŸ¤£ W akid 3am te2re osas scientific kermel twekbe l corona Sa7??,Agreeableness
Fi srasir ad mabaddk bl nouweb bde yehon yetfadalo m3 jelset corona wy ba77o kln,Neuroticism
Seems we all are? Ana heses hek mn awal el azme . Covid zedet el d8t,Neuroticism
W me phd. Serna Klna bl bet e3din w natrin corona,Extraversion
Yea me. Bs bde sir doctorat snt jeyi nchalla aw mn b3d el corona bt ba77,Conscientiousness
ÙŠÙ„Ù‘ÙŠ Ø¨ÙŠÙ‚ÙˆÙ„Ùˆ THAWRA Ø¨ÙŠÙ‚ÙˆÙ„Ùˆ COVID19 ÙˆÙŠÙ„Ù‘ÙŠ Ø¨ÙŠÙ‚ÙˆÙ„Ùˆ SAWRA Ø¨ÙŠÙ‚ÙˆÙ„Ùˆ CORONA,Neutral
Anytime ðŸ™ðŸ˜‡hard job to keep ourselves and our entourage safe. May god give yiu strength Sara7a 3abeli arguel . Bas 3abeli aktat n5allis mn l marad li semmouha b esm bira . Seriously stay home. Safe. Arguuli 7ay koun atyab,Agreeableness
#StayHome #Ø®Ù„ÙŠÙƒ_Ø¨Ø§Ù„Ø¨ÙŠØª #ÙƒÙˆØ±ÙˆÙ†Ø§ #coronatime â€“ at mar mekhayil,Neutral
3a fekra nsit elikkkðŸ™ˆðŸ™ˆ Bes ye5las el 7ajer ray7a l3edik 2e23od shi jom3a 2 3 Shoufe esh badik ta3emleeeðŸ¤­ðŸ¤­ðŸ¤­,Extraversion
Who let charbel khalil exist,Neuroticism
"Nasil bir ÅŸaÅŸÄ±rmÄ±ÅŸlÄ±ksa artÄ±k, 2023 hedeflerimizi â€œkimseâ€ engelleyemez diyor. Kimse: Corona",Neutral
"Shou khas charbel ? B kel belden l aalam, l COVID 19 aareal kel shi. W aktar l belden l mettawra, am bet aane men ektisada halae. Fi priorities wel houkoume am teshteghil aa hal ases",Conscientiousness
Free condoms plz ma baddna ndaobel population after all this lockdown wil bayyy y7abbel ebno... ,Openness
Shaghle l wahide li 3amelta b quarantine ,Extraversion
Why are all men going bald in this quarantine? Ma helo hek aye-,Neuroticism
Cause quarantine is killing me w bade shi etsala fiðŸ˜‚,Neuroticism
emta ha yo5las hal quarantine ta ma ba2 shouf 3alam mh*y*je aa my tl?,Openness
ðŸ‘‡ðŸ‘‡ðŸ‘‡ðŸ‘ï¸ðŸ‘ï¸ðŸŒðŸŒðŸ‘‰RT â€“ at Baaloul,Neutral
Lah ya 3ame stay home,Agreeableness
@berrynawal @BassamAbouZeid @ALJADEEDNEWS @MedawarLana @Annahar @lebanondebate @LBCI_NEWS #Ø®Ù„ÙŠÙƒ_Ø¨Ø§Ù„Ø¨ÙŠØª #Ø­Ø²Ø¨_Ø§Ù„Ù„Ù‡ ðŸ‘‡ðŸ‘‡ â€“ at Baaloul,Neutral
#Ø·ÙˆÙ†ÙŠ_Ø®Ù„ÙŠÙØ© #Ù„Ø¨Ù†Ø§Ù† #ØµØ­ØªÙƒ_Ø¨Ø§Ù„Ø¯Ù†ÙŠ #Ø®Ù„ÙŠÙƒ_Ø¨Ø§Ù„Ø¨ÙŠØª @TonyKhalifeh @mophleb @Hamad_hassan20 â€“ at Baaloul,Neutral
Ø¨ÙŠØ±ÙˆØªÙŠ ðŸƒâ€â™‚ï¸ðŸƒâ€â™€ï¸ðŸš¶â€â™€ï¸#Ø®Ù„ÙŠÙƒ_Ø¨Ø§Ù„Ø¨ÙŠØª #Ø­Ø²Ø¨_Ø§Ù„Ù„Ù‡ #Ø­Ø³Ø§Ù†_Ø¯ÙŠØ§Ø¨ #Ù„Ø¨Ù†Ø§Ù† @walidjoumblatt @WaelAbouFaour1 ðŸ‘ï¸ðŸ‘ï¸ðŸ‘ðŸ‘ðŸ‘‡ â€“ at Baaloul,Neutral
Bedna nrou2 eh? Shefna gher wizara esh 3emlo Law tkun hukumet saad ken akhad selfie maa l virus !:) Baed na2es,Openness
JÃ¤ger zeh2it mene #Quarantine ,Neuroticism
"Sah afekra , esa 1 week bl quarantine ha terjaa hek",Neutral
azde ba3d ma yekhlas l quarantine,Openness
Eno ma fhemt le kel l aalam rej3o yetlaao mnl bet ? Is corona over w ana ma maae khabar ?! ?!,Conscientiousness
ayre bhal lockdown sar bedde esma3 Shadia Mansour,Neuroticism
Ktir bshil rouh mano ba3ed el quarantine,Extraversion
Manek hal sha8li mohami la telta2e feðŸ˜ŠðŸ˜Š #Covid_19,Neuroticism
Fout neim bala covid bala balout,Neuroticism
ðŸ™ƒ bl nhye l mouse3adet li ejet lal nurses w dr knt mn l sha3eb lbneni w tabarou3aton ( w 3ala l 3lem hayde l mousa3det ken lezem tkoun shghlet wazir l se7a ) fa li bysta7e2 l shker hne l ashkhas li se3ado w sehamo b ayya shi zghir la y7arbo hal marad,Conscientiousness
la2 ya 3eeshe hon ya ens ma fee visits bel quarantine,Neutral
"Look, its getting harder and harder, badda te5las hal corona shit walla sho???ðŸ¤¦ðŸ½â€â™‚ï¸",Neuroticism
Corona w ta2es w ka2abe .. rah tzid nesbit l enti7ar,Neuroticism
Be europa badon y3mloo test 3ala sha3b l2fre2e mn marad corona,Neuroticism
I watched the part 1 corona bas ma hasset enno zed chi 3n el osas lli mnaarefa ... how was the part 2?,Neutral
Ba3d corona ness lizim tenzal 3a cheri3 aktar b kettir min abl w yetalbo b ha2oun w mayesmaho b hal chi li2ano eza sakatna 3al ha2na min houl al heramye sera2in li ba3d masheb3o ser2a w hala2 weslit ma3oun yesr2ou li ma3ana se3ata alah yerham libnenyeh w libnen,Neuroticism
Ma3o 7a2 .. ade a7la law Denver w Rio kajjo baaed ðŸ˜ #rou2e_okhte_Bedash_hal2ad #kella_bawse #hole_hormonet_quarantine_3zerouwa,Openness
100% bass ne7na halla2 b zaman corona virus midtarrin ne23od bl beit 7ata ma ne23od bl mestashfa ...majbourin,Conscientiousness
"Ya3ne ma b kaffe l Lira bel ared w Corona, ejetna l ma btetsamma",Neuroticism
Guillain barre hewe shalal bl a3sab beballish mn ta7t la fo2 ..so this patient ejet first 3nda shalal w ma keno 3arfin enu mmkn tkun Covid19 ba3d esbou3 bayyano 3nda sa3le w fever,Neuroticism
eno hala2 kel l models w l mumasilet jeyin am yaamlo tiktoks hene w aam yeklo esas bt naseh w eno quarantine and shit aa ases nhna msh aarfin eno ya ma btekluwon ya bt futo tbe2uwon bs tkhalso l video. Ya allah shu fake w bt ulule leh bemhe insta wlekdndjnsksns,Neuroticism
Ma32oul israel 3am yrecho 3layna corona men fo2?,Openness
Kharjon arguili 3al rassif. M3 shi 500 000 wa7ad. W mafion m3 corona. L maradi sara2 esmo mn bira.,Openness
Canâ€™t wait tekhlas corona ta nerja3 nesta3ml l metro b Beirut ðŸ˜ ,Extraversion
3am todrob watar l gherbe li already kteer 7asses w bi zaman l corona,Neuroticism
"me, @hostilehoe and @bdalaamne2 nehna w feytin aa proj*kt after quarantine ",Neutral
who tf says â€œhetlenâ€ 3etlen ham bi oulo ya habibe,Neutral
Stay safe habibiðŸ™â¤ï¸ ,Agreeableness
Mich 3amtsayed ba2a gayaret 3adtak aw bi kouno el 3safir ma3on coronaðŸ˜‰,Openness
A summary of my TL today: _ kataeb / civil war _ Cats _ Me7en _ Israel _ 3alam ma khasson bel 5ase aam yaato ra2yon bel corona,Neutral
Fiyon yeftahoulna mahallet le tyeb yawmen aw tlete bas la2an iza ejit el sayfiyye w b3dna quarantined ana m3nde tyeb...,Extraversion
You maybe wrong. Mousta7il mat le7e 7adn who will be your everything. Ana moumkin kmn mab le2e bs,Openness
Bs ykun 3amilak ta3mal camping bs fe corona ðŸ•ï¸â›ºðŸ˜‚ ,Openness
Quarantine routine ðŸ¤·ðŸ½â€â™€ï¸ ,Neutral
no tonio bheb l cancers bdefe3 aanakðŸ˜³ ok love this quarantine house ktir fyo actions,Extraversion
Hafroun ðŸ’™ #Hafroun #Ehmej #myhometown #spring #nature #naturelovers #clicclacprodutions #photography #Quarantine #COVID2019 #StayHome #Lebanon,Extraversion
who thinks we're the elite? lmao 3a ayya ases,Neuroticism
La2 ma 3am Bi2dar nem bzaman l corona,Neuroticism
Bas yekhlass coronaðŸ‘‰ðŸ¼ðŸ‘ˆðŸ¼,Extraversion
*Me jogging bl 7ay* Baladiye: eh fike abel l 7 Allergies: 23ede b baytik bifakro ma3ik corona,Openness
#stop Ø¥Ù† Ù„Ù… ØªÙƒÙ† Ù‚Ø§Ø¯Ø± Ø¹Ù„Ù‰ Ø¥ØªÙ…Ø§Ù… Ù…Ø³Ø¤ÙˆÙ„ÙŠØ§ØªÙƒ #ÙÙ„ØªØ±Ø­Ù„ #CORONAVIRUS_COVID_19 â€“ at Souk El Ahad,Neutral
No covid 19 ballash mn batman . Shu badna fiyon. L virus ballash 3ndn,Openness
Khayye l deneh msakra w kel ma aandu shi l2an fe shi esmu (((((((VIRUS))))))) MISH vacation l ossa la kel yruh yemshe w ykazder w ma baaref shu Badkon dawle btfham Mish la ykun l sha3eb byfham bl awal,Neuroticism
ha2 aal quarantine ðŸ¤”,Neuroticism
1$=3050LL Ø§Ù„Ø¹Ø§Ù„Ù… Ø§Ø®ØªØ±Ø¨Øª Ø¨ÙŠÙˆØªÙ‡Ø§ Ø§Ù„ÙƒÙˆØ±ÙˆÙ†Ø§ Ø¨Ø§ØªØª Ø§Ø±Ø­Ù… Ù…Ù† Ø§Ù„Ø°Ù„ Ø§Ù„Ø°ÙŠ ÙŠØ¹ÙŠØ´Ù‡ Ø§Ù„Ù„Ø¨Ù†Ø§Ù†ÙŠ ÙŠÙˆÙ…ÙŠØ§Ù‹ #Ø®Ù„ÙŠÙƒ_Ø¨Ø§Ù„Ø¨ÙŠØª #Ø§Ù„ÙƒÙˆØ±ÙˆÙ†Ø§ #Ù„Ø¨Ù†Ø§Ù†,Neuroticism
Ya3ne ba3d el Corona fi thawra bedda tekol el akhdar wel yebes.,Neuroticism
bs trouh corona bt sire teje l eende aa dorm w notla3 netsabahðŸ˜³ðŸ˜³ðŸ˜³,Openness
Salma Hayek be like: whoâ€™s Mexican? ðŸ˜‚,Neutral
Ka2eno l 3alam rej3eit la hayeta el tabi3iye w nesyo enu fi Corona ??? Shumisheeenn,Conscientiousness
Azde ana kif eemil follow la wled l 2003 w tlou3.. ma aam befham yaane Eza hada aatas.. corona Eza hada nazzal tweet.. men are trash Eza hada nazal pic .. shu sar insta? Eza ma aajabon shi .. rapist or abuser To2brune twitter mesh war2et na3we aw mahekim..,Neuroticism
3300 L.L ÙŠÙ„ÙŠ Ø¨Ø¶Ù„ Ø¨Ø§Ù„Ø¨ÙŠØª Ø¨Ø¹Ø¯ ÙƒÙˆØ±ÙˆÙ†Ø§ Ø®Ø±Ø¬ÙˆØ§ ÙŠØ¶Ù„ Ù…Ø¯Ø¹ÙˆØ³ Ø¨Ø§Ù„ØµØ±Ø§Ù…ÙŠ ÙˆØ§Ù†Ø´Ø§Ø¡Ù„Ù„Ù‡ Ø¨Ù…ÙˆØª Ø§Ù„Ø¬ÙˆØ¹ #Ù„Ø¨Ù†Ø§Ù†_ÙŠÙ†ØªÙØ¶,Neutral
B3d el quarantine ha sir ana m3allem l shawarma fa tekram 3aynik,Extraversion
"Questions that get on my nerves lately: 1-Chou kif hal quarantine ma3ak? 2-Kif l diet ma3ak 3-Akid 3am ta3mol home workout, mahek? 4-3am tekol kelchi 3am totobkho?",Neuroticism
pls min bado yeje l eende after quarantine,Extraversion
3al 2alile 7lemte heik chi Ana 7atta bi 2a7leme 3ayesh bel 7ajer,Neuroticism
Serna nelbes lunette 3l 7ajer ðŸ‘ðŸ¼,Neutral
fi shi ktir aam b daye3ne w li howe ma aam befham shu the point tabaa l aalam li bt nazel stories aam b sou2o maa hashtag #Ø®Ù„ÙŠÙƒ_Ø¨Ø§Ù„Ø¨ÙŠØª ,Neutral
byest2blune ahlik bl corona ?ðŸ˜”,Neutral
Eza hek habibte okðŸ˜‚ Yo2borne abboud akiiid I'll stay with u alllll quarantine!!!,Extraversion
bedde etla3 mnel quarantine influencer mejwiyye bas 3amaliyye,Openness
160 PCR ðŸ˜‚ seriously ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ eh sah wade3 mneh kter ðŸ˜‚,Neutral
Hayda 1/4 cheghlaaðŸ˜Š byekfee l ghala wel ser2a li baada mechyee!!! Yaane eza ma khalo l aalam tmout mn l corona rah tmout mn l jou3 !!! Habal w jahal level 100 â˜ºï¸ ,Neuroticism
Hahahaahah tabi3ouna ba3ed l lockdown la na3ref shou r7 ysir ðŸ’€ðŸ’€ðŸ’€ Bass is it mutual? ðŸ¥ºðŸ¥ºðŸ¤”ðŸ¤«,Neutral
When they ask you Shu hiweyetak am shu 3am ta3moul bel hajer? Kel d2i2a 3am ghayir soura 3ala Grindr,Extraversion
Halla2 la72e zeedilik 5 more tasks ba3d l corona btdee3eðŸ˜‚ðŸ˜‚ðŸ˜‚,Conscientiousness
"Layko abel thawra w Corona, 3an shu kenna nehki ?",Neuroticism
"Eh azna5 fi . Esma el fassed el slata syeseye, omt, edl... w bdl. All the actors who contributed to the embezzlment of 300 billion $and the collapse of the lbp. Man nnensa skleen we ramco. Azna5 mafi . Wl nasmaki btsir mtl channel n5 eddemon",Neuroticism
Ikher shi byejeki wahad madredi b2lik Allah Yil3an l Corona Haramna l dawri ðŸ˜‚ðŸ˜‚,Neutral
Yaane law ma3e corona kenit tol3it ad ma soret m3attas hal fatra.,Neuroticism
Yes please. Fi corona w mah yeedaro refaate yeezmune chfe2o alayna ,Neuroticism
Nshallah nokhlas men corona w kel shi byen7al,Extraversion
"Noo ma byeswa , badna nkhaf mn corona , w badna nerja3 3al sawra , w badna nazel l dollar w ntaleb bi osset ghala l as3ar wel amwel l manhoube w bil akhir bnentek wel mestashfeyet ma bet3oud edra testaw3eb a3ded w yallaa Khara bil majerfe",Conscientiousness
Natanyahou mish fade 3m bijahezlkoun mestashfayetkoun w yse3dkoun twejho corona its okay deae we don't need anyone ðŸ˜‹ mish m3awadin nla7wess sbabit ya ghanam,Neuroticism
Mazelo virus 3a shou natra his tweet hbb kirmel trede w yza2eflik kam ðŸ‘ðŸ‘ðŸ‘ bi ra2ye ntebhe tebla3e ri2ik ðŸ,Neuroticism
Mane msada2 tokhlas oset l corona la erja3 choufak ðŸ¤®,Extraversion
Ktir bshil n3mol group tweeps nodhar kelna sawa post coronaðŸ‘‹ðŸ» min in?,Extraversion
Post corona fiya a3de sawa kelna eh???? 2raguil hamod w na2na3 todwe bl sama abyad,Extraversion
Sar jeye updates aa hal virus aktar ma 3amil update la my phone. ,Openness
Kif ya3ne fi nes 3am tetzawaj during lockdown?,Neutral
#quarantine #stayhome #staysafe #rahkebb #7alehðŸ™‹â€â™‚ï¸ @Wadi El Salib - Kfardebian https://www.instagram.com/p/B_SscgUD3aT2PxtrKUBOQtk9lNHnQzYjrmG0MI0/?igshid=o77u6m47aort,Neutral
Lezm bas ye5las l quarantine ma ye5las faj2a yaane y2ololna abl b esbo3 ta nerja3 net3awad eno nem bakir w he l 7araket,Openness
leh la2?:( bhebb aaref who ended the relationship first fi aande unanswered questions anaðŸ˜­,Neutral
Ede tali3 3a belkoun Burger? Ma3 Bacon w extra sauce? Aw fries mn Mcdo ma3 nuggets w large coke? W ka dessert pain perdu mn Couqley? #Ø®Ù„ÙŠÙƒ_Ø¨Ø§Ù„Ø¨ÙŠØª_Ù‚Ø±Ù‘Ø¨Øª_ØªØ®Ù„Øµ ðŸ¤°,Extraversion
Bas laeno arart 2a3mul iftar la my school friends sar fi corona,Neutral
enti ma 3endk iman bi rabek abadn hol lmtzahrin ma 5ayfin la mn lkouruna wala chi la2n imenon bi rabon kbir la hk enti ktirr chaklk fez3ani mn corona nasi7a mni 5afi rabk w 3badi ehhh ya jabeni,Neuroticism
Amrak bs roo2 kermel ls tekhlas coronavirus ahla ma nenle2e7 bel hospitals,Agreeableness
Shu awal shi 7a ta3mle ba3d l lockdown?#-7a etjawaz,Extraversion
kif yaane fi sticker stay home ,Neutral
"El 3alam yalle dahra w bet7ot the ""stay home"" sticker shu bet7es? ðŸ˜‚",Neutral
Ba3ed el corona @joannedraybi ðŸ™ŒðŸ»,Extraversion
Rizk Hospital you need to chill about the covid-19 situation Ba3dne wasil 3al Urgence safa2oune kelmit enta mashbouh corona li2ano hekmak tashet bared mesh eno el ac darib be ni3e I was like habibte sarle 47 nhar bel bet fa dobile halik w check my doctor requests,Neuroticism
"L mshkle eno last week nhar l a7ad wl tanen ma 3mlo 8er 300 w 400 tests w tabi3e 3adad l isabet ykoun alil, amo fakkaro ntahit l corona",Agreeableness
Hahahahahahahahahahaha walla mknt aam bedrous mn awwal quarantine,Extraversion
Aslan mn wara bawseton ejet l Corona ,Neuroticism
lezim sawra ma tfel 3a tari2 cz dollar a5tar mn corona bhek dawle 3azime yalla esh3el narrr ya souwarrrðŸ’¥ðŸ’¥ðŸ’¥,Neuroticism
"No one: Literally no one: Tari2 Jdide people: â€œaslan nehna ma 3enna corona, hayda kello bel da7ye 3end el shi3a w el iraniye basâ€",Openness
Er bi kel wahad who bullied someone,Neuroticism
hala2 bi iyem l corona ma fi gher hal,Conscientiousness
"la enno fee 3alam bro iza ma metit min corona 7a tmut mnel jou3,li 3ayish min ma3ash yawme w halla2 ma 3ando sheghel, l dawle lezim t2ammenlo musa3adet meddiyye aw ghize2iyye ta ma ymut mnel jou3",Neuroticism
bfaddil el2at corona 3ala enne koun 3awniyye w hl2d ghabiye ,Neuroticism
Miss Rona have mercy on me WHY SARO 10 7ELET CORONA BIL DAY3A 3ENA BEDE EBKE ,Neuroticism
"Guys ana ma3kon w 7esa fikon bas ma lezem netsaraf bi tahawor ento el amal lwahid lhal balad 3al 2alile 7eto kfouf w mask, 7mou 7alkon w li ma3kon w ahelkon men hal virus. Please stay safeðŸ™ðŸ»â™¥ï¸ #Ù„Ø¨Ù†Ø§Ù†_ÙŠÙ†ØªÙØ¶",Conscientiousness
"Lps, rawdah(mentioned rawdah le2ine bil hawa ma3ak), lau, masters in quarantine Macro factors my brother",Neutral
Aslan bas yekhlas l hajer ha e3zemkon aala aedet kebbe 2ras w 3ara2 ðŸ™Š,Extraversion
people who are short? eno twalo khaye ma bada hal ad,Openness
Anyone can convince my parents inu fini etlaa mnl bayt w corona ma ha yekolni =(,Neutral
Kholssit el corona aw kif laeno kel el aalam aam tkazdir hassab ma sheyfe,Conscientiousness
Hal2 mskren nshallah b3d corona mnblesh,Neutral
OMG 3 already la halla2? W 7a yzido aktar bl eyem l jeye fi wave 2 jeye a2wa men l 2ula b 100 marra,Neuroticism
Eh pls bas Hal 3 days post quarantine,Neutral
"ok wait people who are throwing hate aal benet, chill! yemken wasalit her idea btari2a ghalat aw ma eerfit twasela! so give her a chance ta tfaser shou azdaðŸ˜‚ ",Agreeableness
@LBCILebanon @LBCI_NEWS woslet news..w 3refna shu 3am yseer w 3ndkon nashret a5bar b layl w 3am tedfa3o masare kermal Live.....iza betkaffo haik ma ba2a 7ada ra7 yo7darkon b Ramadan.... ma bkafi masare ma fi ...ma bkafi #ÙÙŠØ±ÙˆØ³_ÙƒÙˆØ±ÙˆÙ†Ø§ ÙƒÙ…Ø§Ù† #,Neuroticism
christopherfeghali my boy #drifting my #nissan350z on our #simulator ðŸ’ªâ¤ï¸ðŸ’ª playing assettocorsa #contentmanager #driftplayground roger_feghali alexfeghali joe_abou_chakra #stayhome #staysafe #drift #driftfunâ€¦ https://www.instagram.com/p/B_ksyisl_Uu/?igshid=4j9hnmlfwd8x,Extraversion
Lah2o aa a3yed miled baad hal corona kelo ajal iid miledo ðŸ˜,Openness
Halla2 anjd l 3alam sada2et enno mafi corona bi lebnen?,Neuroticism
Ana natra mnatara la n5las la a3mol l next one ðŸ˜¢ Knt e5de maw3ad abl l corona,Neuroticism
âœŒâœŒðŸ’ƒðŸ¼ðŸ’ƒðŸ¼ðŸ’ƒðŸ¼ w ni7na 200$mnl bank ma3 corona w jarad hala2 ðŸ’ƒðŸ¼ðŸ’ƒðŸ¼ðŸ’ƒðŸ¼,Neuroticism
Tayeb w baaden? Lesh ka2an el 3alam rej3eit lal hayet tabi3iye maka2an fi corona wala shi??,Conscientiousness
ba3d corona badkon tekhdune 3nd l bek,Extraversion
"Iza fataho el matar anytime soon w ba3d Corona Virus mawjud worldwide, bethejro??",Openness
WHY ARE PEOPLE SEXUALIZING SHERK SARLE SE3A AAM MOUT HAHAHAHAHA WHAT WHY WHO,Neutral
Post corona men 3youne,Agreeableness
iza darabet second wave ya habibi ma byeb'ka min ykhabber,Neuroticism
100% btla3 men tawle bfout 3a tawle ðŸ¤£ðŸ¤£ Ba3d l 7ajer bweje 3al casino 7ases ana ðŸ¤£,Openness
2ale khale bedo bri2 el mwoy and u bet ur ass imma call it mwoy min hala2 w tale3 may who? We donâ€™t know her we only stan mwoy,Neutral
#ÙŠÙˆÙ…ÙŠØ§Øª Ø§Ù„Ù…Ù„Ø§ - Ø¨ÙŠØ±ÙˆØª. Photo: Hussein Baydoun #corona #virus #photography #news #photojournalism #Covid_19 #canon #beirut #lebanon #photooftheday,Neutral
No ba3edna midterms ðŸ˜’ W kif ye3ne respondus lockdown browser,Neuroticism
@najwakaram nos7ane bel quarantine?,Neutral
@najwakaram shaklo ha ndal b 7ajer abadi bsabab ghala hal as3ar ðŸ¤¦ðŸ»â€â™€ï¸ ,Neuroticism
Li bi dahik eno law ma 3emlo mane3 tajawwol.. keno l aalam kammalo yedharo aade.. la corona wala shi.. ensa l aaj2a aal ter2at,Conscientiousness
Ktashafeit shi enu b hal 2 months Quarantine ma akhadeit wala nhar off mn sheghel even law knt working from home... mafhmt 7ali,Neuroticism
THROWBACK BAALBECK REMEMBERS OUM KALTHOUM â˜€ï¸ @MaestroGabr @MarwaNagy @maifarouk74 #baalbeckfestivalthrowback #baalbeckfestival #oumkalthoum #tribute #tarab #staysafe ,Extraversion
En nehna anti corona mahek? ,Neutral
omg I donâ€™t have beef with my teta.. azde bcz of quarantine yel3an l se3a ðŸ˜« ,Neuroticism
I guess batal 3andon tyeb tfout fiyon ba3ed hal quarantine,Openness
Btw ma shakla woslit corona aa dt .. nos lebnen ken tahet ðŸ˜‚ ma bi khafo men shi,Neutral
ðŸ˜‚ðŸ˜‚ðŸ˜‚wm3 l 3ja2a chi 3 sa3at eza mwsm syfeye w m fe corona,Neutral
L ha2 mich 3al wazir..mich se3it l badna houwe batal w se3it li badna houwe kharab l dene!ma fina nenkour ta3abo w kell chi em fi yaati alf 3afye!L mechekle bil libnene li 3eyich 3agheir kawkab!deghre bi oulo chou houwe l corona?!kello gripe!Ya 3alam w3ou!ðŸ¤¦â€â™€ï¸,Conscientiousness
Ktir emergency l shopping b hek wa2et #ÙƒÙˆØ±ÙˆÙ†Ø§_Ù„Ø¨Ù†Ø§Ù†,Neutral
